no,en,start,end,lv
1,I'll be quick.,11.3,13.8,1
2,If possible.,17.5,19.5,1
3,It's no trouble.,29.3,32.3,1
4,Thanks anyway.,43.0,45.8,1
5,I'm almost done.,62.5,65.8,1
6,As you like.,68.6,70.5,1
7,Be careful.,81.0,84.0,1
8,Is that correct?,93.4,97.0,1
9,I'm working on it.,105.9,110.0,1
10,Sorry for the wait.,119.0,122.5,1
11,That's fair enough.,137.8,141.5,1
12,I'm afraid so.,146.2,149.5,1
13,That would be great.,159.6,164.0,1
14,I'm on my way.,172.7,176.0,1
15,That's fine with me.,193.1,196.5,1
16,I'll try my best.,200.3,203.8,1
17,That would be helpful.,208.0,211.5,1
18,Sounds good.,224.0,227.0,1
19,Let's keep in touch.,236.0,239.5,1
20,Is it important?,247.0,250.0,1
21,It's all right.,258.0,261.0,1
22,I'm running late.,279.0,282.0,1
23,Maybe later.,294.0,297.0,1
24,That makes sense.,308.0,311.0,1
25,Could you show me?,315.0,318.5,1
26,That's helpful.,328.0,331.0,1
27,I'd like to join.,344.0,347.0,1
28,I'll be waiting.,359.0,362.0,1
29,Is there a problem?,373.0,376.0,1
30,I'm glad you asked.,394.0,397.0,1
